Sequencing_ID	new_genotype
PN13_SID1240	Zd.0020_P3_P2_P4.2.1.1
PN13_SID1241	Zd.0020_P3_P2_P4.3.1.1
PN13_SID1242	Zd.0020_P3_P3_P1.1.1.1
PN13_SID1243	Zd.0020_P3_P3_P1.2.1.1
PN13_SID1244	Zd.0020_P3_P3_P1.3.1.1
PN13_SID1245	Zd.0020_P3_P3_P2.3.1.1
PN13_SID1246	Zd.0020_P3_P3_P2.4.1.1
PN13_SID1247	Zd.0020_P3_P3_P3.1.1.1
PN13_SID1248	Zd.0020_P3_P3_P3.2.1.1
PN14_SID1249	Zd.0020_P3_P3_P3.3.1.1
PN14_SID1250	Zd.0020_P3_P4_P1.1.1.1
PN14_SID1251	Zd.0020_P3_P4_P1.3.1.1
PN14_SID1252	Zd.0020_P3_P4_P1.4.1.1
PN14_SID1253	Zd.0020_P3_P4_P2.1.1.1
PN14_SID1254	Zd.0020_P3_P4_P2.2.1.1
PN14_SID1255	Zd.0020_P3_P4_P2.3.1.1
PN14_SID1256	Zd.0020_P3_P4_P3.1.1.1
PN14_SID1257	Zd.0020_P3_P4_P3.2.1.1
PN14_SID1258	Zd.0020_P3_P4_P3.3.1.1
PN14_SID1259	Zd.0020_P3_P4_P3.4.1.1
PN14_SID1260	Zd.0020_P3_P5_P1.1.1.1
PN14_SID1261	Zd.0020_P3_P5_P1.2.1.1
PN14_SID1262	Zd.0020_P3_P5_P1.3.1.1
PN14_SID1263	Zd.0020_P3_P5_P1.4.1.1
PN14_SID1264	Zd.0020_P3_P5_P2.1.1.1
PN14_SID1265	Zd.0020_P3_P5_P2.2.1.1
PN14_SID1266	Zd.0020_P3_P5_P3.1.1.1
PN14_SID1267	Zd.0010_P2_P1_P1.1.1.1
PN14_SID1268	Zd.0010_P2_P1_P1.2.1.1
PN14_SID1269	Zd.0010_P2_P1_P1.3.1.1
PN14_SID1270	Zd.0010_P2_P1_P2.1.1.1
PN14_SID1271	Zd.0010_P2_P1_P2.2.1.1
PN14_SID1272	Zd.0010_P2_P1_P2.3.1.1
PN14_SID1273	Zd.0010_P2_P1_P2.4.1.1
PN14_SID1274	Zd.0010_P2_P2_P1.2.1.1
PN14_SID1275	Zd.0010_P2_P2_P1.3.1.1
PN14_SID1276	Zd.0010_P2_P2_P1.5.1.1
PN14_SID1277	Zd.0010_P2_P2_P2.1.1.1
PN14_SID1278	Zd.0010_P2_P2_P2.2.1.1
PN14_SID1279	Zd.0010_P2_P2_P2.3.1.1
PN14_SID1280	Zd.0010_P2_P2_P2.5.1.1
PN14_SID1281	Zd.0010_P2_P3_P1.2.1.1
PN14_SID1282	Zd.0010_P2_P3_P1.3.1.1
PN14_SID1283	Zd.0010_P2_P3_P1.4.1.1
PN14_SID1284	Zd.0010_P2_P3_P1.5.1.1
PN14_SID1285	Zd.0010_P2_P3_P2.1.1.1
PN14_SID1286	Zd.0010_P2_P3_P2.3.1.1
PN14_SID1287	Zd.0010_P2_P3_P2.4.1.1
PN14_SID1288	Zd.0010_P2_P3_P3.1.1.1
PN14_SID1289	Zd.0010_P2_P3_P3.3.1.1
PN14_SID1290	Zd.0010_P2_P3_P4.1.1.1
PN14_SID1291	Zd.0010_P2_P3_P4.2.1.1
PN14_SID1292	Zd.0010_P2_P3_P4.4.1.1
